stop_id,stop_city
233485,Fairfax
232768,Fairfax
233488,Fairfax
232764,Fairfax
233498,Fairfax
232743,Fairfax
233491,Fairfax
232759,Fairfax
233506,Fairfax
232730,Fairfax
229974,Terra Linda
229746,Terra Linda
483657,E Corte Madera
483661,E Corte Madera
483656,E Corte Madera
1568519,Corte Madera
1568520,E Corte Madera
445931,Larkspur
1877102,Larkspur
445932,Larkspur
1877100,Larkspur
445933,Larkspur
1877099,Larkspur
445910,Larkspur
445909,Larkspur
445911,Larkspur
445908,Larkspur
445912,Larkspur
445907,Larkspur
934571,Larkspur
937425,Larkspur
230294,Larkspur
237322,Larkspur
498090,Greenbrae
498091,Greenbrae
445925,Greenbrae
498052,Greenbrae
498051,Greenbrae
498043,Greenbrae
498041,Greenbrae
498044,Greenbrae
498040,Greenbrae
498045,Greenbrae
498039,Greenbrae
934403,Larkspur
233462,Woodacre
377779,S P Taylor
233427,San Geronimo
232822,San Geronimo
233410,San Geronimo
649928,Forest Knolls
233392,Forest Knolls
232856,Lagunitas
234030,Lagunitas
233988,S P Taylor
233175,Pt Reyes Stn
236812,Olema
233272,Point Reyes
237982,Inverness
233150,Inverness
233100,Inverness
398213,Stinson Beach
234916,Mt Tamalpais
235513,Mt Tamalpais
235531,Mt Tamalpais
234905,Mt Tamalpais
229886,Terra Linda
350369,Terra Linda
229582,Terra Linda
229662,Terra Linda
229588,Terra Linda
237374,Terra Linda
229691,Terra Linda
1868652,Terra Linda
71918,Terra Linda
352611,Terra Linda
1875519,Terra Linda
1875270,Terra Linda
70991,Santa Venetia
237330,Santa Venetia
237336,San Rafael
237372,San Rafael
352104,San Rafael
71897,Santa Venetia
352558,San Rafael
237333,Santa Venetia
71902,Santa Venetia
71882,Santa Venetia
71906,Santa Venetia
71878,Santa Venetia
71907,Santa Venetia
237328,Santa Venetia
483992,San Marin
483917,San Marin
483989,San Marin
229957,Marinwood
484095,Terra Linda
483573,Marinwood
352378,Marinwood
483574,Marinwood
352373,Marinwood
484091,Lucas Valley
352347,Marinwood
229780,Marinwood
229803,Marinwood
229776,Marinwood
229810,Marinwood
229770,Marinwood
483987,Marinwood
229817,Marinwood
237376,Marinwood
229762,Marinwood
229828,Marinwood
229944,Marinwood
235039,Tam Valley
445917,Strawberry
235041,Tam Valley
235360,Tam Valley
235046,Tam Valley
235240,Mill Valley
445903,Strawberry
484061,Strawberry
483727,Strawberry
483713,Strawberry
483728,Strawberry
483714,Strawberry
484358,Strawberry
484060,Strawberry
648954,Strawberry
1876876,Strawberry
445918,Strawberry
445902,Strawberry
484070,Belvedere
484069,Belvedere
483749,Tiburon
483746,Tiburon
483748,Tiburon
483741,Tiburon
483742,Tiburon
483739,Tiburon
483743,Tiburon
483738,Tiburon
483744,Tiburon
483745,Tiburon
483736,Tiburon
483689,Tiburon
483690,Tiburon
483691,Tiburon
483688,Tiburon
483732,Tiburon
483709,Tiburon
483710,Tiburon
483711,Tiburon
483687,Tiburon
483712,Tiburon
484054,Tiburon
483708,Tiburon
483740,Tiburon
1877101,Larkspur
483731,Tiburon
483663,E Corte Madera
2498587,Corte Madera
2498017,Corte Madera
230303,Corte Madera
230063,Corte Madera
230309,Corte Madera
230056,Corte Madera
230043,Corte Madera
445913,Corte Madera
445906,Corte Madera
445914,Corte Madera
445905,Corte Madera
445915,Corte Madera
233538,San Anselmo
1565763,Kentfield
498086,Kentfield
498079,Kentfield
498087,Kentfield
498078,Kentfield
498088,Kentfield
445928,Kentfield
498089,Kentfield
445927,Kentfield
445926,Kentfield
498085,Ross
498080,Ross
445929,Kentfield
350697,San Rafael
350325,San Rafael
71739,San Rafael
71837,San Rafael
934773,San Rafael
350319,San Rafael
934774,San Rafael
1868651,San Rafael
934775,San Rafael
1868650,San Rafael
71733,San Rafael
71843,San Rafael
2498870,San Rafael
2498724,San Rafael
2498869,San Rafael
2498725,San Rafael
2498853,San Rafael
2498852,San Rafael
2498851,San Rafael
2498726,San Rafael
2505828,San Rafael
498046,Larkspur
233812,San Anselmo
234496,Stinson Beach
237390,Stinson Beach
232836,Forest Knolls
649926,Lagunitas
234694,Mt Tamalpais
235806,Mt Tamalpais
234706,Mt Tamalpais
235788,Mt Tamalpais
237983,Mt Tamalpais
235612,Mt Tamalpais
234874,Mt Tamalpais
236082,Stinson Beach
234339,Stinson Beach
483909,San Marin
310147,Marin City
237329,Santa Venetia
483939,East Novato
483938,East Novato
480983,East Novato
483717,Mill Valley
352160,Terra Linda
258825,Sausalito
526434,San Rafael
3883758,San Rafael
3883759,San Rafael
3883198,San Rafael
3883199,San Rafael
3883200,San Rafael
4891560,San Rafael
4890417,San Rafael
5365329 ,Novato
5365063,Novato
5364574,Novato
5388034,San Anselmo
5387876,San Anselmo
