route_id,realtime_enabled,realtime_routename,realtime_routecode
22,1,22,22
49,1,49,49
61,1,61,61
66,0,66,66
68,1,68,68
113,1,113,113
115,1,115,115
117,1,117,117
119,1,119,119
122,1,122,122
125,1,125,125
139,1,139,139
145,1,145,145
151,1,151,151
154,1,154,154
219,1,219,219
228,1,228,228
233,1,233,233
245,1,245,245
251,1,251,251
257,1,257,257
17,1,17,17
23,1,23,23
23X,1,23X,23X
29,1,29,29
35,1,35,35
36,1,36,36
71X,1,71X,71X
